KEY,COUNTRY,LABORATORY,SEQUENCE,DATE,YEAR,MONTH,DAY,STATION,LATITUDE ddmmmm,LATITUDE dddddd,LONGITUDE ddmmmm,LONGITUDE dddddd,SDEPTH,RUBIN,BIOTATYPE,TISSUE,NO,LENGTH,WEIGHT,DW%,LOI%,MORS_SUBBASIN,HELCOM_SUBBASIN,DATE_OF_ENTRY
"BBFFG1986001",6,"BFFG",1986001,"12/06/86 00:00:00",1986,12,6,"BKIBU1",54.32,54.53,10.08,10.13,20.5,"GADU MOR","F",5,,39,,20.83,92.8,5,15,
"BBFFG1986002",6,"BFFG",1986002,"12/06/86 00:00:00",1986,12,6,"86/ 3",54.29,54.48,10.43,10.72,19.5,"GADU MOR","F",5,,63,,19.53,92.7,5,15,
"BBFFG1986003",6,"BFFG",1986003,"12/07/86 00:00:00",1986,12,7,"BKIBU1",54.37,54.61,10.16,10.26,22.5,"GADU MOR","F",5,,56,,20.04,92.59999999999999,5,15,
"BBFFG1986004",6,"BFFG",1986004,"12/07/86 00:00:00",1986,12,7,"BKIBU1",54.36,54.6,10.45,10.75,27,"GADU MOR","F",5,,66,,18.05,91.3,5,15,
"BBFFG1986005",6,"BFFG",1986005,"12/08/86 00:00:00",1986,12,8,"BARC2",54.58,54.96,14.12,14.19,43,"GADU MOR","F",5,,49,,21.05,92.5,2,2,
"BBFFG1986006",6,"BFFG",1986006,"12/08/86 00:00:00",1986,12,8,"BBHOL3",54.35,54.58,14.51,14.84,52.5,"GADU MOR","F",5,,49,,19.96,93.2,6,6,
"BBFFG1986007",6,"BFFG",1986007,"12/09/86 00:00:00",1986,12,9,"BBHOL4",55.34,55.57,15.23,15.38,70,"GADU MOR","F",5,,56,,26.67,94.8,6,6,
"BBFFG1986008",6,"BFFG",1986008,"12/10/86 00:00:00",1986,12,10,"86/27",55.43,55.72,16.42,16.7,50,"GADU MOR","F",5,,55,,18.98,92.8,4,6,
"BBFFG1986009",6,"BFFG",1986009,"12/10/86 00:00:00",1986,12,10,"86/28",55.4,55.66,16.56,16.93,35.5,"GADU MOR","F",5,,55,,20,92.90000000000001,4,6,
"BBFFG1986010",6,"BFFG",1986010,"12/11/86 00:00:00",1986,12,11,"86/30",55.56,55.94,17.02,17.04,50,"GADU MOR","F",5,,55,,18.87,92.2,4,6,
"BBFFG1986011",6,"BFFG",1986011,"12/11/86 00:00:00",1986,12,11,"86/31",55.58,55.97,17.19,17.32,39,"GADU MOR","F",5,,64,,18.87,93.40000000000001,4,6,
"BBFFG1986012",6,"BFFG",1986012,"12/11/86 00:00:00",1986,12,11,"86/32",56.03,56.05,17.39,17.65,62,"GADU MOR","F",5,,56,,18.87,93.09999999999999,4,6,
"BBFFG1986013",6,"BFFG",1986013,"12/11/86 00:00:00",1986,12,11,"86/33",55.55,55.92,17.4,17.67,62,"GADU MOR","F",5,,57,,18.52,92,4,9,
"BBFFG1986014",6,"BFFG",1986014,"12/11/86 00:00:00",1986,12,11,"86/35",55.39,55.66,17.44,17.74,58.5,"GADU MOR","F",5,,59,,32.26,96,4,9,
"BBFFG1986015",6,"BFFG",1986015,"12/12/86 00:00:00",1986,12,12,"86/36",55.18,55.31,17.1,17.16,75.5,"GADU MOR","F",5,,62,,18.83,92.8,4,6,
"BBFFG1986016",6,"BFFG",1986016,"12/12/86 00:00:00",1986,12,12,"86/37",55.17,55.29,16.53,16.88,70.5,"GADU MOR","F",5,,71,,17.51,92.3,4,6,
"BBFFG1986017",6,"BFFG",1986017,"12/12/86 00:00:00",1986,12,12,"86/38",55.11,55.18,16.56,16.94,77,"GADU MOR","F",5,,70,,28.99,95.2,4,6,
"BBFFG1986018",6,"BFFG",1986018,"12/12/86 00:00:00",1986,12,12,"BBHOL5",55.18,55.3,16.32,16.53,66,"GADU MOR","F",5,,49,,20.58,93.8,4,6,
"BBFFG1986019",6,"BFFG",1986019,"12/13/86 00:00:00",1986,12,13,"BBHOL5",54.53,54.88,16.05,16.09,48,"GADU MOR","F",5,,57,,18.87,92.2,6,6,
