KEY,NUCLIDE,METHOD,< VALUE_Bq/kg,VALUE_Bq/kg,BASIS,ERROR%,NUMBER,DATE_OF_ENTRY
"BVTIG2012041","CS134   ","VTIG01","<",0.01014,"W",,,"02/27/14 00:00:00"
"BVTIG2012041","K40     ","VTIG01"," ",135.3,"W",3.57,,"02/27/14 00:00:00"
"BVTIG2012041","CO60    ","VTIG01","<",0.01398,"W",,,"02/27/14 00:00:00"
"BVTIG2012041","CS137   ","VTIG01"," ",4.338,"W",3.48,,"02/27/14 00:00:00"
"BVTIG2012040","CS134   ","VTIG01","<",0.009613999999999999,"W",,,"02/27/14 00:00:00"
"BVTIG2012040","K40     ","VTIG01"," ",134,"W",3.57,,"02/27/14 00:00:00"
"BVTIG2012040","CO60    ","VTIG01","<",0.01295,"W",,,"02/27/14 00:00:00"
"BVTIG2012040","CS137   ","VTIG01"," ",4.342,"W",3.47,,"02/27/14 00:00:00"
"BVTIG2012039","CO60    ","VTIG01","<",0.01251,"W",,,"02/27/14 00:00:00"
"BVTIG2012039","CS134   ","VTIG01","<",0.009306999999999999,"W",,,"02/27/14 00:00:00"
"BVTIG2012039","CS137   ","VTIG01"," ",5.704,"W",3.48,,"02/27/14 00:00:00"
"BVTIG2012039","K40     ","VTIG01"," ",129.8,"W",3.57,,"02/27/14 00:00:00"
"BVTIG2012038","CS134   ","VTIG01","<",0.009820000000000001,"W",,,"02/27/14 00:00:00"
"BVTIG2012038","CO60    ","VTIG01","<",0.01269,"W",,,"02/27/14 00:00:00"
"BVTIG2012038","K40     ","VTIG01"," ",131.1,"W",3.57,,"02/27/14 00:00:00"
"BVTIG2012038","CS137   ","VTIG01"," ",6.168,"W",3.47,,"02/27/14 00:00:00"
"BVTIG2012037","CS137   ","VTIG01"," ",6.703,"W",3.47,,"02/27/14 00:00:00"
"BVTIG2012037","K40     ","VTIG01"," ",130,"W",3.56,,"02/27/14 00:00:00"
"BVTIG2012037","CO60    ","VTIG01","<",0.008664,"W",,,"02/27/14 00:00:00"
